model_type,features_used,model_params,train_rmse,val_rmse,train_mape (%),val_mape (%)
arima,N/A,,4792.4297061622165,5279.121918408121,2.5522921536234656e+19,196.36574373429775
sarimax,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']",,10731.826663953041,14793.093363096646,2.7171695525619063e+20,401.50338609323495
prophet,N/A,,,6964.438560542882,,330.085303480523
RandomForestRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']",{'max_depth': 5},1604.651797251695,4087.824470257202,1.1062765745369567e+19,197.37174007395708
RandomForestRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'n_estimators': 200, 'max_depth': 6}",1609.0432734936296,4154.857689650513,8.93994688822368e+18,203.07035016009388
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.10208833268227575,5529.05398779936,229721689292800.0,356.37454986572266
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'n_estimators': 100, 'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.05}",851.8322164604953,4097.775250059476,2.440219169967309e+18,229.1689395904541
XGBRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.1, 'learning_rate': 0.01}",2720.304119027871,4074.7116462395225,2.821749704805581e+19,174.43066835403442
LGBMRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",4537.065761026467,5166.263022024983,7.1815750176969834e+19,202.14884719565106
LGBMRegressor,"['#1_Lag_1', 'CHI Production Index_Lag_12', '#20_Lag_1', 'CC_UK_Lag_12_RollingMean3', '#9_Lag_12_RollingMean3', '#14_Lag_1', '#36_Lag_1', 'GER EE Production Index_Lag_12', '#14_Lag_6', 'GER Production Index_Lag_12', 'Fossil_Chi_Lag_12_RollingMean6', '#4_Lag_1_RollingMean3']","{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}",4537.065761026467,5166.263022024983,7.1815750176969834e+19,202.14884719565106
