,#11
2018-10-01,1021303.5
2018-11-01,1898844.8
2018-12-01,1226122.0
2019-01-01,2216391.74
2019-02-01,610456.6
2019-03-01,493999.81
2019-04-01,1484281.6
2019-05-01,1066063.9
2019-06-01,492133.2
2019-07-01,585648.14
2019-08-01,2898779.87
2019-09-01,3749980.46
2019-10-01,218976.78
2019-11-01,1194770.75
2019-12-01,1278545.62
2020-01-01,584370.0
2020-02-01,1233609.73
2020-03-01,2969948.65
2020-04-01,813303.01
2020-05-01,842526.1
2020-06-01,2246948.0
2020-07-01,2105975.71
2020-08-01,1521580.0699999998
2020-09-01,3891447.7600000002
2020-10-01,973837.23
2020-11-01,488891.95999999996
2020-12-01,1096370.71
2021-01-01,18200.0
2021-02-01,1978335.55
2021-03-01,1660211.1600000001
2021-04-01,1206734.3399999999
